Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"9,0203E-08","0,073791","-0,019069",0,0,0,"10,753","0,019849","6,5381E-10","2,5647E-09","0,038526","5,2628E-05","0,023738",0,0,0,0,0,0,package://robot_urdf/meshes/base_link.STL,"0,59216","0,61961","0,65098",1,0,0,0,0,0,0,package://robot_urdf/meshes/base_link.STL,,"Alum 40x40 400mm-1;Крепление R-1;Угловой соединитель стальной 40х80L, 40 серия-3;Крепление-1;Угловой соединитель стальной 40х80L, 40 серия-2;Alum 40x40 250mm-2;Alum 40x40 250mm-1;Alum 40x40 350mm-2;Alum 40x40 300mm-2;Alum 40x40 350mm-1;Alum 40x40 300mm-3;Alum 40x40 300mm-1;Двигатель шаговый FL57STH76-2804B.stp-1;Двигатель шаговый FL57STH76-2804B.stp-2;NEMA17 42mm 4.4kgcm-1",Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_wheel_rear_right,"-0,17862","0,013534","0,024673",0,0,0,"2,9659","0,0036209","2,0673E-07","5,7974E-09","0,0036199","5,941E-09","0,0063812",0,0,0,0,0,0,package://robot_urdf/meshes/link_wheel_rear_right.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://robot_urdf/meshes/link_wheel_rear_right.STL,,76249-All-Terrain-Right-Wheel-1;Колесо накладка-4;flange to wheel adapter-2,Origin_joint_wheel_rear_right,RearWheelAxis,joint_wheel_rear_right,revolute,"-0,1571","0,094979","-0,073292","1,5708","0,78473","-1,5708",base_link,0,0,0,0,0,0,0,,,,,,,,
link_wheel_rear_left,"5,6432E-08","-0,0079572","-6,9612E-08",0,0,0,"0,50768","0,00048677","-6,188E-10","-5,6106E-08","0,00085979","7,7341E-10","0,0004867",0,0,0,0,0,0,package://robot_urdf/meshes/link_wheel_rear_left.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://robot_urdf/meshes/link_wheel_rear_left.STL,,Колесо накладка-3;76249-All-Terrain-Left-Wheel-1;flange to wheel adapter-1,Origin_joint_wheel_rear_right2,RearWheelAxis,joint_wheel_rear_right,revolute,"0,1941","0,2118","0,0625",0,"-1,454","-1,5708",base_link,0,0,0,0,0,0,0,,,,,,,,
link_steering_pinion,"0,006","4,8572E-17","-5,3252E-11",0,0,0,"0,0054889","4,4352E-07","-1,2013E-22","-1,3836E-15","2,8763E-07","-5,294E-23","2,8763E-07",0,0,0,0,0,0,package://robot_urdf/meshes/link_steering_pinion.STL,"0,77647","0,75686","0,73725",1,0,0,0,0,0,0,package://robot_urdf/meshes/link_steering_pinion.STL,,spur gear_iso-1,Origin_joint_steering_pinion,,joint_steering_pinion,prismatic,0,"-0,074","0,06955","2,3648",0,"-1,5708",base_link,0,0,0,0,0,"-0,25","0,25",,,,,,,,
link_steering_rack,"-9,4E-07","-0,0087881","0,0039404",0,0,0,"0,16855","2,0872E-05","1,0847E-09","-4,9012E-09","0,00012304","5,394E-06","0,00013502",0,0,0,0,0,0,package://robot_urdf/meshes/link_steering_rack.STL,"0,96863","0,25882","0,25882",1,0,0,0,0,0,0,package://robot_urdf/meshes/link_steering_rack.STL,,Рычаг центральный-1,Origin_joint_steering_rack,Ось1,joint_steering_rack,floating,"0,006","-0,016367","0,016653","1,5708","0,77675","-1,5708",link_steering_pinion,0,0,0,,,,,,,,,,,,
link_steering_rods,"0,060065","0,0095269","0,059552",0,0,0,"0,633","0,00024891","9,7727E-06","3,6482E-06","0,00026531","-4,0001E-05","0,00023486",0,0,0,0,0,0,package://robot_urdf/meshes/link_steering_rods.STL,"0,96863","0,25882","0,25882",1,0,0,0,0,0,0,package://robot_urdf/meshes/link_steering_rods.STL,,Рычаг малый-1;Стойка R-1;Рычаг малый-2;Стойка-1,Origin_joint_steering_rods,,joint_steering_rods,floating,"-0,072482",0,"-0,0094931","3,1416","-0,23961",0,link_steering_rack,0,0,0,,,,,,,,,,,,
link_lidar,"-0,012223","2,6945E-06","-0,0080115",0,0,0,"0,086273","3,2361E-05","-9,951E-08","2,8041E-06","4,3879E-05","3,5039E-08","6,1441E-05",0,0,0,0,0,0,package://robot_urdf/meshes/link_lidar.STL,"0,10196","0,10196","0,10196",1,0,0,0,0,0,0,package://robot_urdf/meshes/link_lidar.STL,,LiDAR-1,Origin_joint_lidar,,joint_lidar,fixed,0,"-0,226","0,18304","3,1416",0,"-1,5708",base_link,0,0,0,,,,,,,,,,,,
link_depth_camera,"-0,00069728","-4,5196E-06","-0,01017",0,0,0,"0,24743","1,5937E-05","-1,7793E-08","-2,0407E-06","0,00013973","-1,3963E-08","0,00014828",0,0,0,0,0,0,package://robot_urdf/meshes/link_depth_camera.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://robot_urdf/meshes/link_depth_camera.STL,,71044-3D-Depth-Camera-1,Origin_joint_depth_camera,,joint_depth_camera,fixed,"-0,00073135","-0,26096","0,16","1,5708",0,0,base_link,0,0,0,,,,,,,,,,,,
link_laser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://robot_urdf/meshes/link_laser.STL,1,1,1,1,0,0,0,0,0,0,package://robot_urdf/meshes/link_laser.STL,,VL53l1X-1;VL53l1X-2;VL53l1X-4;VL53l1X-5;VL53l1X-6;VL53l1X-7;VL53l1X-8;VL53l1X-9;VL53l1X-10,Origin_joint_laser,,joint_laser,fixed,"0,17095","0,064159","0,077571","-3,1416",0,"1,5708",base_link,0,0,0,,,,,,,,,,,,
